Account_Code,Account_Name,Category,Actual_Mar_2026,Budget_AOP_Mar_2026,Variance_to_Budget,Prior_Year_Mar_2025
4100,Membership Revenue — Annual,Revenue,"2,850,000","2,625,000","225,000","2,410,000"
4110,Membership Revenue — Monthly,Revenue,"680,000","720,000","-40,000","625,000"
4200,Merchandise Revenue — Pantry & Staples,Revenue,"42,800,000","41,500,000","1,300,000","37,200,000"
4210,Merchandise Revenue — Snacks & Confections,Revenue,"18,400,000","17,800,000","600,000","15,900,000"
4220,Merchandise Revenue — Vitamins & Supplements,Revenue,"14,200,000","12,500,000","1,700,000","11,800,000"
4230,Merchandise Revenue — Beauty & Personal Care,Revenue,"9,600,000","10,200,000","-600,000","8,900,000"
4240,Merchandise Revenue — Fresh & Refrigerated,Revenue,"6,800,000","5,200,000","1,600,000","2,100,000"
4250,Merchandise Revenue — Beverages,Revenue,"8,900,000","8,400,000","500,000","7,600,000"
4260,Merchandise Revenue — Household & Cleaning,Revenue,"5,200,000","5,400,000","-200,000","4,800,000"
4300,Shipping Revenue,Revenue,"4,100,000","3,900,000","200,000","3,500,000"
4400,Advertising & Marketplace Revenue,Revenue,"1,850,000","1,600,000","250,000","1,200,000"
5100,COGS — Merchandise,COGS,"78,200,000","74,500,000","3,700,000","66,800,000"
5200,COGS — Packaging Materials,COGS,"3,450,000","3,100,000","350,000","2,800,000"
5300,COGS — Inbound Freight,COGS,"4,800,000","4,600,000","200,000","4,100,000"
5400,COGS — Inventory Shrink & Waste,COGS,"1,250,000","980,000","270,000","820,000"
5500,COGS — Fresh Cold Chain,COGS,"2,100,000","1,400,000","700,000","450,000"
6100,Fulfillment Labor — Warehouse,Fulfillment,"6,200,000","5,400,000","800,000","4,900,000"
6110,Fulfillment Labor — Temporary Staff,Fulfillment,"1,350,000","900,000","450,000","780,000"
6200,Shipping & Handling — Outbound,Fulfillment,"8,400,000","7,800,000","600,000","7,100,000"
6210,Shipping & Handling — Last Mile,Fulfillment,"3,200,000","2,900,000","300,000","2,400,000"
6300,Fulfillment Technology & Automation,Fulfillment,"1,100,000","1,200,000","-100,000","950,000"
6400,Returns Processing,Fulfillment,"680,000","600,000","80,000","520,000"
7100,Marketing — Paid Social,Marketing,"5,200,000","4,800,000","400,000","4,200,000"
7110,Marketing — SEM & Paid Search,Marketing,"2,800,000","3,100,000","-300,000","2,600,000"
7120,Marketing — Influencer Partnerships,Marketing,"1,850,000","1,200,000","650,000","800,000"
7130,Marketing — Email & CRM,Marketing,"420,000","450,000","-30,000","380,000"
7140,Marketing — Brand & Content,Marketing,"1,600,000","1,500,000","100,000","1,200,000"
7150,Marketing — Member Referral Program,Marketing,"980,000","800,000","180,000","620,000"
7200,Technology — Platform & Engineering,Technology,"4,200,000","4,000,000","200,000","3,600,000"
7210,Technology — Infrastructure & Cloud,Technology,"2,100,000","1,900,000","200,000","1,700,000"
7220,Technology — Software Licenses,Technology,"850,000","800,000","50,000","720,000"
7230,Technology — Data & Analytics,Technology,"680,000","650,000","30,000","580,000"
7240,Technology — OMS Migration (One-Time),Technology,"175,000",0,"175,000",0
7300,Salaries & Wages — Corporate,People,"5,800,000","5,600,000","200,000","5,100,000"
7310,Benefits & Insurance,People,"1,450,000","1,400,000","50,000","1,280,000"
7320,Stock-Based Compensation,People,"920,000","900,000","20,000","780,000"
7400,Occupancy & Facilities,G&A,"1,480,000","1,800,000","-320,000","1,750,000"
7410,Insurance — General,G&A,"380,000","360,000","20,000","340,000"
7420,Legal & Professional Fees,G&A,"1,150,000","650,000","500,000","580,000"
7430,Accounting & Audit,G&A,"280,000","300,000","-20,000","260,000"
7440,Travel & Entertainment,G&A,"185,000","200,000","-15,000","170,000"
7450,Office & Administrative,G&A,"120,000","130,000","-10,000","115,000"
8100,Depreciation & Amortization,Other,"2,400,000","2,350,000","50,000","2,100,000"
8200,Interest Expense,Other,"890,000","900,000","-10,000","820,000"
8300,Other Income / (Expense),Other,"-45,000",0,"-45,000","12,000"
